,Population
155242,T-cells
155244,B-cells
155249,T-cells
155252,T-cells
155253,T-cells
155260,B-cells
155262,T-cells
155270,T-cells
155271,T-cells
155275,T-cells
155278,T-cells
155290,T-cells
155297,T-cells
155299,B-cells
155308,B-cells
155311,T-cells
155331,B-cells
155333,B-cells
155339,Monocytes
155357,B-cells
155360,T-cells
155362,B-cells
155363,T-cells
155384,Monocytes
155385,Monocytes
155388,T-cells
155393,T-cells
155412,T-cells
155424,T-cells
155440,T-cells
155441,Other_cells
155445,T-cells
155449,T-cells
155460,T-cells
155465,T-cells
155477,Monocytes
155482,B-cells
155508,Other_cells
155509,T-cells
155520,B-cells
155525,T-cells
155526,Monocytes
155533,T-cells
155536,Monocytes
155538,Monocytes
155540,B-cells
155546,Monocytes
155583,B-cells
155586,T-cells
155594,B-cells
155602,T-cells
155603,B-cells
155607,T-cells
155612,T-cells
155628,T-cells
155639,B-cells
155653,T-cells
155657,B-cells
155658,B-cells
155667,T-cells
155675,Monocytes
155686,T-cells
155699,Monocytes
155704,T-cells
155733,Monocytes
155736,T-cells
155752,B-cells
155761,T-cells
155762,T-cells
155769,T-cells
155777,T-cells
155781,B-cells
155783,T-cells
155788,T-cells
155795,B-cells
155797,B-cells
155800,B-cells
155815,B-cells
155819,Monocytes
155841,T-cells
155843,B-cells
155848,T-cells
155849,Other_cells
155855,T-cells
155878,T-cells
155882,Monocytes
155889,B-cells
155891,B-cells
155894,Monocytes
155898,B-cells
155905,T-cells
155909,Other_cells
155922,T-cells
155925,B-cells
155933,B-cells
155941,T-cells
155943,Monocytes
155950,Monocytes
155959,Monocytes
155974,T-cells
155976,B-cells
155985,B-cells
155987,Monocytes
155998,Other_cells
156000,Monocytes
156007,T-cells
156008,Monocytes
156011,B-cells
156015,T-cells
156023,T-cells
156035,T-cells
156037,T-cells
156040,Other_cells
156049,T-cells
156051,Other_cells
156052,B-cells
156055,Monocytes
156062,T-cells
156071,T-cells
156077,Monocytes
156080,Other_cells
156091,T-cells
156093,T-cells
156125,T-cells
156131,B-cells
156134,T-cells
156135,T-cells
156151,T-cells
156159,T-cells
156161,T-cells
156172,T-cells
156173,T-cells
156179,Monocytes
156187,B-cells
156193,B-cells
156203,T-cells
156218,T-cells
156221,Monocytes
156223,Other_cells
156236,T-cells
156243,T-cells
156249,B-cells
156267,T-cells
156271,B-cells
156273,T-cells
156283,T-cells
156284,T-cells
156305,Other_cells
156306,T-cells
156311,T-cells
156312,Monocytes
156313,T-cells
156324,T-cells
156332,T-cells
156333,B-cells
156339,T-cells
156340,T-cells
156343,T-cells
156353,T-cells
156358,Other_cells
156377,Monocytes
156382,T-cells
156406,T-cells
156407,T-cells
156418,T-cells
156426,T-cells
156434,B-cells
156435,T-cells
156439,T-cells
156447,Other_cells
156457,T-cells
156459,T-cells
156460,B-cells
156463,T-cells
156464,T-cells
156468,B-cells
156480,B-cells
156507,B-cells
156511,Monocytes
156529,T-cells
156530,Monocytes
156531,T-cells
156533,B-cells
156548,T-cells
156552,Other_cells
156594,T-cells
156598,T-cells
156603,T-cells
156606,T-cells
156607,T-cells
156636,T-cells
156638,T-cells
156640,T-cells
156643,B-cells
156644,T-cells
156654,T-cells
156657,T-cells
156665,T-cells
156668,T-cells
156670,Monocytes
156679,T-cells
156684,B-cells
156702,B-cells
156710,Monocytes
156714,T-cells
156715,Other_cells
156716,T-cells
156725,T-cells
156735,Other_cells
156736,T-cells
156740,T-cells
156742,Monocytes
156746,T-cells
156749,B-cells
156760,T-cells
156761,Monocytes
156775,Other_cells
156781,T-cells
156782,B-cells
156785,T-cells
156786,B-cells
156787,T-cells
156794,T-cells
156799,Other_cells
156804,B-cells
156806,T-cells
156810,Other_cells
156826,T-cells
156829,T-cells
156832,B-cells
156837,T-cells
156844,T-cells
156859,T-cells
156861,T-cells
156874,Monocytes
156876,T-cells
156877,B-cells
156880,Monocytes
156881,T-cells
156885,T-cells
156886,Other_cells
156891,T-cells
156893,T-cells
156896,Other_cells
156897,B-cells
156907,T-cells
156908,Other_cells
156911,T-cells
156914,T-cells
156915,T-cells
156919,T-cells
156921,Monocytes
156926,B-cells
156927,T-cells
156931,Monocytes
156935,T-cells
156952,T-cells
156953,B-cells
156958,T-cells
156966,T-cells
156967,Monocytes
156968,B-cells
156985,T-cells
156997,T-cells
156998,T-cells
157003,T-cells
157007,T-cells
157016,T-cells
157030,T-cells
157038,B-cells
157043,B-cells
157049,T-cells
157055,T-cells
157056,Other_cells
157071,Monocytes
157082,B-cells
157088,Monocytes
157093,T-cells
157097,T-cells
157102,Other_cells
157123,T-cells
157130,T-cells
157150,T-cells
157160,T-cells
157173,T-cells
157175,B-cells
157182,T-cells
157197,Monocytes
157202,T-cells
157209,T-cells
157214,Monocytes
157215,B-cells
157225,Monocytes
157229,T-cells
157234,T-cells
157249,T-cells
157250,T-cells
157251,T-cells
157256,B-cells
157265,T-cells
157267,T-cells
157271,B-cells
157290,T-cells
157294,T-cells
157296,T-cells
157299,T-cells
157312,T-cells
157317,T-cells
157320,T-cells
157327,T-cells
157332,B-cells
157333,T-cells
157340,T-cells
157346,B-cells
157351,Other_cells
157353,B-cells
157358,T-cells
157376,T-cells
157380,T-cells
157381,T-cells
157383,Other_cells
157398,B-cells
157399,T-cells
157405,T-cells
157411,B-cells
157412,T-cells
157420,Monocytes
157436,T-cells
157440,T-cells
157446,T-cells
157449,T-cells
157450,T-cells
157487,B-cells
157488,T-cells
157491,T-cells
157537,Other_cells
157544,B-cells
157546,T-cells
157547,B-cells
157549,Other_cells
157551,B-cells
157555,T-cells
157566,T-cells
157573,T-cells
157580,T-cells
157586,B-cells
157590,T-cells
157604,T-cells
157619,Monocytes
157620,Other_cells
157626,B-cells
157641,T-cells
157646,B-cells
157648,Monocytes
157653,Monocytes
157660,T-cells
157667,B-cells
157677,T-cells
157689,T-cells
157699,T-cells
157706,T-cells
157708,T-cells
157709,Other_cells
157716,T-cells
157717,T-cells
157731,T-cells
157743,B-cells
157776,B-cells
157778,T-cells
157782,T-cells
157787,T-cells
157799,T-cells
157806,B-cells
157813,T-cells
157814,Monocytes
157818,T-cells
157823,T-cells
157824,T-cells
157828,Other_cells
157841,T-cells
157855,T-cells
157857,Monocytes
157865,B-cells
157878,T-cells
157906,T-cells
157907,Other_cells
157918,T-cells
157933,B-cells
157944,T-cells
157955,T-cells
157957,T-cells
157965,T-cells
157966,B-cells
157967,T-cells
157973,T-cells
157975,T-cells
157987,B-cells
157989,Monocytes
157991,Other_cells
157993,T-cells
157995,Other_cells
158002,T-cells
158003,T-cells
158014,Other_cells
158015,T-cells
158028,T-cells
158041,T-cells
158043,T-cells
158049,Monocytes
158055,T-cells
158056,T-cells
158068,T-cells
158071,T-cells
158073,B-cells
158080,T-cells
158082,T-cells
158109,T-cells
158110,B-cells
158118,T-cells
158122,T-cells
158149,T-cells
158165,T-cells
158175,T-cells
158191,T-cells
158215,Other_cells
158227,B-cells
158239,T-cells
158244,T-cells
158252,T-cells
158260,B-cells
158268,T-cells
158294,T-cells
158297,Other_cells
158304,T-cells
158311,T-cells
158312,B-cells
158333,B-cells
158341,B-cells
158344,T-cells
158368,T-cells
158382,T-cells
158394,B-cells
158400,T-cells
158401,B-cells
158405,T-cells
158406,T-cells
158410,B-cells
158436,T-cells
158440,T-cells
158450,B-cells
158453,Monocytes
158469,T-cells
158472,T-cells
158475,T-cells
158485,T-cells
158488,T-cells
158489,T-cells
158496,T-cells
158507,Monocytes
158509,T-cells
158512,T-cells
158520,Monocytes
158522,T-cells
158529,T-cells
158534,B-cells
158539,Monocytes
158542,T-cells
158550,T-cells
158557,Monocytes
158583,T-cells
158596,T-cells
158597,T-cells
158619,Monocytes
158622,Monocytes
158630,T-cells
158632,T-cells
158640,T-cells
158641,Other_cells
158643,T-cells
158649,Monocytes
158650,T-cells
158651,T-cells
158653,T-cells
158691,T-cells
158696,T-cells
158701,B-cells
158706,T-cells
158707,T-cells
158711,B-cells
158717,T-cells
158721,T-cells
158722,Other_cells
158731,Monocytes
158749,T-cells
158751,T-cells
158755,T-cells
158762,T-cells
158769,T-cells
158776,B-cells
158777,Other_cells
158780,T-cells
158795,T-cells
158796,T-cells
158804,T-cells
158805,B-cells
158808,Monocytes
158821,T-cells
158831,T-cells
158841,T-cells
158842,T-cells
158844,B-cells
158850,T-cells
158855,Monocytes
158859,T-cells
158867,T-cells
158870,T-cells
158873,T-cells
158875,T-cells
158886,T-cells
158895,T-cells
158909,T-cells
158920,T-cells
158922,T-cells
158935,Other_cells
158943,Monocytes
158947,B-cells
158959,T-cells
158965,Monocytes
158969,T-cells
158997,Monocytes
159009,B-cells
159029,T-cells
159033,T-cells
159036,T-cells
159039,B-cells
159046,T-cells
159047,T-cells
159051,T-cells
159059,Other_cells
159064,B-cells
159065,T-cells
159067,B-cells
159075,B-cells
159085,T-cells
159096,T-cells
159106,T-cells
159109,T-cells
159116,B-cells
159120,T-cells
159121,T-cells
159125,T-cells
159133,Monocytes
159140,T-cells
159150,T-cells
159156,T-cells
159160,T-cells
159172,T-cells
159181,B-cells
159194,Monocytes
159203,T-cells
159206,T-cells
159220,Monocytes
159235,B-cells
159240,T-cells
159243,T-cells
159245,B-cells
159251,T-cells
159255,T-cells
159269,T-cells
159290,T-cells
159295,T-cells
159303,T-cells
159326,Other_cells
159327,T-cells
159328,T-cells
159336,T-cells
159340,T-cells
159347,Other_cells
159351,Monocytes
159356,B-cells
159357,T-cells
159372,T-cells
159377,T-cells
159389,B-cells
159407,T-cells
159423,T-cells
159437,T-cells
159456,Other_cells
159461,T-cells
159483,T-cells
159493,T-cells
159494,Other_cells
159498,T-cells
159502,T-cells
159515,B-cells
159518,T-cells
159524,T-cells
159531,Other_cells
159533,B-cells
159552,T-cells
159562,T-cells
159563,T-cells
159580,B-cells
159585,T-cells
159588,Other_cells
159600,B-cells
159607,Other_cells
159608,Monocytes
159612,B-cells
159614,Other_cells
159626,T-cells
159627,T-cells
159630,T-cells
159636,T-cells
159637,Monocytes
159643,T-cells
159651,T-cells
159662,Monocytes
159668,B-cells
159673,B-cells
159675,T-cells
159681,B-cells
159682,T-cells
159686,B-cells
159691,T-cells
159719,T-cells
159729,B-cells
159735,T-cells
159739,T-cells
159741,T-cells
159742,T-cells
159745,T-cells
159748,T-cells
159749,T-cells
159750,T-cells
159751,T-cells
159761,T-cells
159775,B-cells
159779,T-cells
159784,T-cells
159805,T-cells
159807,Monocytes
159808,Other_cells
159821,T-cells
159824,B-cells
159829,Monocytes
159834,T-cells
159836,T-cells
159845,B-cells
159879,T-cells
159887,T-cells
159888,B-cells
159900,T-cells
159902,B-cells
159906,Other_cells
159907,Monocytes
159908,T-cells
159910,T-cells
159914,B-cells
159921,T-cells
159931,T-cells
159934,T-cells
159947,T-cells
159977,T-cells
159983,T-cells
159990,T-cells
159994,T-cells
159999,T-cells
160005,T-cells
160009,T-cells
160011,B-cells
160017,B-cells
160033,T-cells
160034,T-cells
160036,B-cells
160090,Other_cells
160091,B-cells
160095,T-cells
160097,B-cells
160105,T-cells
160106,T-cells
160110,T-cells
160131,T-cells
160139,B-cells
160145,T-cells
160157,B-cells
160158,T-cells
160161,B-cells
160171,T-cells
160172,Other_cells
160182,B-cells
160183,Monocytes
160187,T-cells
160190,T-cells
160195,Other_cells
160201,B-cells
160226,T-cells
160227,T-cells
160230,T-cells
160254,Monocytes
160257,T-cells
160261,T-cells
160276,Other_cells
160278,T-cells
160284,B-cells
160287,T-cells
160293,Monocytes
160295,T-cells
160297,T-cells
160301,B-cells
160309,Monocytes
160312,T-cells
160313,T-cells
160323,T-cells
160326,T-cells
160335,B-cells
160343,T-cells
160344,Monocytes
160349,T-cells
160363,B-cells
160366,T-cells
160367,T-cells
160373,B-cells
160400,T-cells
160404,T-cells
160413,T-cells
160425,T-cells
160426,B-cells
160451,Other_cells
160452,B-cells
160469,T-cells
160478,B-cells
160482,T-cells
160485,B-cells
160512,B-cells
160534,B-cells
160580,B-cells
160581,T-cells
160596,T-cells
160603,T-cells
160606,T-cells
160607,T-cells
160611,T-cells
160624,T-cells
160626,T-cells
160645,B-cells
160653,T-cells
160654,T-cells
160655,Monocytes
160671,T-cells
160676,B-cells
160679,B-cells
160682,T-cells
160695,T-cells
160697,Monocytes
160707,B-cells
160709,T-cells
160716,Other_cells
160719,T-cells
160722,T-cells
160723,T-cells
160734,T-cells
160739,T-cells
160740,T-cells
160742,T-cells
160743,Monocytes
160746,T-cells
160750,Other_cells
160754,T-cells
160756,Other_cells
160758,T-cells
160763,Monocytes
160771,T-cells
160776,T-cells
160778,T-cells
160784,T-cells
160795,B-cells
160796,B-cells
160798,Monocytes
160812,T-cells
160827,T-cells
160835,Other_cells
160850,T-cells
160852,B-cells
160855,T-cells
160874,T-cells
160878,B-cells
160893,T-cells
160900,T-cells
160903,T-cells
160913,T-cells
160930,T-cells
160946,T-cells
160953,T-cells
160954,T-cells
160961,B-cells
160963,T-cells
160964,T-cells
160969,B-cells
160970,Other_cells
160971,T-cells
160981,T-cells
160990,Monocytes
160995,T-cells
160997,Monocytes
161002,T-cells
161026,T-cells
161027,Monocytes
161032,T-cells
161046,T-cells
161054,T-cells
161059,T-cells
161065,T-cells
161069,Other_cells
161076,Monocytes
161080,T-cells
161085,T-cells
161090,T-cells
161092,B-cells
161097,Other_cells
161099,T-cells
161108,T-cells
161123,Other_cells
161134,B-cells
161137,T-cells
161143,T-cells
161147,T-cells
161152,T-cells
161156,B-cells
161160,Monocytes
161170,T-cells
161177,T-cells
161179,T-cells
161180,T-cells
161191,T-cells
161197,T-cells
161199,T-cells
161212,Monocytes
161230,T-cells
161233,T-cells
161237,T-cells
161238,T-cells
161241,B-cells
161254,T-cells
161255,T-cells
161263,B-cells
161269,T-cells
161274,T-cells
161275,B-cells
161279,T-cells
161281,T-cells
161293,T-cells
161299,T-cells
161306,B-cells
161315,T-cells
161318,T-cells
161326,T-cells
161329,T-cells
161336,T-cells
161344,T-cells
161349,T-cells
161355,T-cells
161361,B-cells
161373,T-cells
161389,B-cells
161394,T-cells
161408,T-cells
161418,T-cells
161423,T-cells
161437,T-cells
161444,Monocytes
161450,Monocytes
161453,Monocytes
161458,T-cells
161459,B-cells
161485,T-cells
161493,T-cells
161495,T-cells
161496,T-cells
161500,Monocytes
161503,B-cells
161507,T-cells
161520,Monocytes
161535,Monocytes
161544,T-cells
161554,T-cells
161566,B-cells
161572,Monocytes
161577,T-cells
161578,T-cells
161579,T-cells
161580,T-cells
161585,B-cells
161604,T-cells
161619,T-cells
161620,T-cells
161628,Monocytes
161636,T-cells
161637,T-cells
161640,B-cells
161655,B-cells
161656,T-cells
161663,T-cells
161665,B-cells
161677,T-cells
161685,T-cells
161692,T-cells
161694,T-cells
161696,Other_cells
161703,T-cells
161714,T-cells
161718,T-cells
161721,B-cells
161725,T-cells
161731,T-cells
161733,Monocytes
161753,T-cells
161755,B-cells
161762,T-cells
161766,Other_cells
161768,Other_cells
161770,T-cells
161787,Other_cells
161791,T-cells
161799,T-cells
161809,T-cells
161813,T-cells
161832,T-cells
161835,T-cells
161842,Monocytes
161848,T-cells
161855,T-cells
161856,T-cells
161857,T-cells
161863,T-cells
161874,T-cells
161875,T-cells
161878,Other_cells
161897,T-cells
161904,T-cells
161915,T-cells
161916,T-cells
161921,Monocytes
161925,B-cells
161953,T-cells
161954,Monocytes
161956,T-cells
161972,Monocytes
161987,B-cells
161994,T-cells
161997,B-cells
162011,T-cells
162019,T-cells
162024,B-cells
162025,T-cells
162027,Monocytes
162030,T-cells
162042,B-cells
162048,Monocytes
162050,B-cells
162060,T-cells
162069,T-cells
162076,T-cells
162086,T-cells
162090,T-cells
162092,B-cells
162095,T-cells
162105,T-cells
162109,B-cells
162112,T-cells
162115,T-cells
162118,T-cells
162123,Other_cells
162125,Monocytes
162134,T-cells
162135,T-cells
162137,T-cells
162139,T-cells
162140,T-cells
162143,B-cells
162147,T-cells
162152,T-cells
162154,T-cells
162158,T-cells
162169,T-cells
162173,T-cells
162174,B-cells
162185,T-cells
162201,B-cells
162237,T-cells
162240,T-cells
162247,T-cells
162250,Other_cells
162257,T-cells
162272,T-cells
162275,B-cells
162276,T-cells
162278,T-cells
162289,T-cells
162296,T-cells
162309,B-cells
162315,T-cells
162331,T-cells
162335,Other_cells
162342,T-cells
162350,T-cells
162358,Monocytes
162377,T-cells
162379,B-cells
162388,T-cells
162389,T-cells
162391,T-cells
162408,T-cells
162414,T-cells
162426,B-cells
162430,T-cells
162431,T-cells
162436,T-cells
162457,T-cells
162458,Monocytes
162472,T-cells
162475,T-cells
162484,T-cells
162522,T-cells
162524,B-cells
162527,T-cells
162536,Other_cells
162538,Monocytes
162549,B-cells
162556,Other_cells
162562,B-cells
162582,T-cells
162585,T-cells
162586,B-cells
162592,T-cells
162614,T-cells
162615,T-cells
162671,B-cells
162681,T-cells
162690,T-cells
162691,B-cells
162693,T-cells
162700,T-cells
162710,Monocytes
162716,T-cells
162724,T-cells
162728,Monocytes
162759,T-cells
162760,B-cells
162761,T-cells
162769,B-cells
162770,B-cells
162786,T-cells
162792,Monocytes
162795,T-cells
162803,B-cells
162812,B-cells
162820,T-cells
162822,B-cells
162826,T-cells
162827,T-cells
162839,T-cells
162859,B-cells
162870,T-cells
162871,B-cells
162872,T-cells
162873,B-cells
162882,T-cells
162891,T-cells
162892,T-cells
162895,T-cells
162896,T-cells
162897,T-cells
162901,T-cells
162922,T-cells
162930,T-cells
162941,B-cells
162945,T-cells
162952,T-cells
162953,T-cells
162954,T-cells
162964,T-cells
162973,T-cells
162988,T-cells
162992,Monocytes
163001,T-cells
163003,B-cells
163013,T-cells
163016,Monocytes
163019,T-cells
163023,B-cells
163042,B-cells
163049,T-cells
163086,B-cells
163089,Monocytes
163091,Monocytes
163094,Monocytes
163098,T-cells
163102,B-cells
163114,T-cells
163120,T-cells
163143,T-cells
163148,T-cells
163156,T-cells
163160,T-cells
163170,T-cells
163173,T-cells
163177,T-cells
163178,Monocytes
163185,T-cells
163189,T-cells
163194,T-cells
163198,Other_cells
163199,T-cells
163207,T-cells
163221,B-cells
163224,T-cells
163231,Monocytes
163234,B-cells
163241,Monocytes
163268,T-cells
163277,T-cells
163279,T-cells
163283,Monocytes
163287,Monocytes
163292,Other_cells
163296,B-cells
163297,T-cells
163312,B-cells
163328,B-cells
163334,Monocytes
163336,T-cells
163339,B-cells
163359,Monocytes
163360,T-cells
163372,B-cells
163381,Other_cells
163382,B-cells
163391,T-cells
163395,B-cells
163398,T-cells
163406,Monocytes
163408,T-cells
163420,T-cells
163423,Other_cells
163427,T-cells
163430,T-cells
163447,B-cells
163448,T-cells
163457,T-cells
163461,T-cells
163464,T-cells
163466,Monocytes
163471,T-cells
163473,T-cells
163496,Monocytes
163500,T-cells
163501,T-cells
163522,T-cells
163523,T-cells
163533,T-cells
163536,B-cells
163537,T-cells
163550,T-cells
163552,T-cells
163558,T-cells
163564,T-cells
163569,Monocytes
163575,T-cells
163576,T-cells
163589,T-cells
163605,T-cells
163617,T-cells
163632,T-cells
163633,B-cells
163651,Monocytes
163662,B-cells
163684,T-cells
163686,Other_cells
163689,T-cells
163692,B-cells
163704,T-cells
163713,Other_cells
163716,B-cells
163725,B-cells
163733,T-cells
163734,T-cells
163736,Monocytes
163741,T-cells
163762,Other_cells
163764,T-cells
163765,T-cells
163774,T-cells
163775,T-cells
163779,B-cells
163785,T-cells
163788,T-cells
163804,B-cells
163816,T-cells
163819,T-cells
163829,T-cells
163832,T-cells
163850,Monocytes
163851,Monocytes
163861,T-cells
163877,T-cells
163878,T-cells
163893,Other_cells
163901,T-cells
163911,T-cells
163925,T-cells
163933,T-cells
163934,B-cells
163947,T-cells
163950,T-cells
163951,T-cells
163956,T-cells
163961,T-cells
163962,B-cells
163967,B-cells
163980,T-cells
163984,B-cells
163985,T-cells
163987,B-cells
163999,T-cells
164002,T-cells
164007,T-cells
164015,B-cells
164017,T-cells
164037,B-cells
164065,T-cells
164075,B-cells
164078,B-cells
164086,T-cells
164087,Other_cells
164094,Other_cells
164096,Monocytes
164104,Other_cells
164110,T-cells
164112,T-cells
164113,B-cells
164116,T-cells
164131,B-cells
164134,T-cells
164145,Other_cells
164147,T-cells
164151,T-cells
164169,B-cells
164170,Monocytes
164180,T-cells
164185,B-cells
164193,T-cells
164195,T-cells
164198,T-cells
164201,Other_cells
164208,B-cells
164209,T-cells
164216,B-cells
164229,T-cells
164247,T-cells
164255,B-cells
164256,T-cells
164263,T-cells
164283,T-cells
164288,B-cells
164291,T-cells
164297,T-cells
164298,B-cells
164308,T-cells
164336,Other_cells
164350,Other_cells
164351,B-cells
164356,T-cells
164366,B-cells
164368,Other_cells
164389,T-cells
164408,T-cells
164427,Monocytes
164431,T-cells
164432,T-cells
164435,Monocytes
164466,B-cells
164470,T-cells
164471,B-cells
164477,T-cells
164489,T-cells
164495,T-cells
164498,T-cells
164499,Monocytes
164511,T-cells
164544,T-cells
164545,T-cells
164551,B-cells
164553,T-cells
164554,T-cells
164566,Monocytes
164573,B-cells
164574,B-cells
164576,T-cells
164578,T-cells
164587,Other_cells
164593,B-cells
164596,T-cells
164602,T-cells
164615,Monocytes
164622,T-cells
164629,B-cells
164653,T-cells
164655,Monocytes
164663,B-cells
164677,T-cells
164690,T-cells
164705,Other_cells
164717,T-cells
164737,T-cells
164742,T-cells
164748,T-cells
164762,B-cells
164792,Other_cells
164798,Other_cells
164802,T-cells
164810,T-cells
164819,B-cells
164822,B-cells
164831,T-cells
164834,T-cells
164835,T-cells
164842,B-cells
164847,T-cells
164856,T-cells
164870,T-cells
164874,T-cells
164877,T-cells
164881,T-cells
164887,Other_cells
164900,T-cells
164914,T-cells
164915,T-cells
164918,T-cells
164934,Other_cells
164935,Monocytes
164947,T-cells
164955,B-cells
164965,Monocytes
164982,B-cells
164983,B-cells
164988,T-cells
164991,T-cells
164994,T-cells
164999,T-cells
165015,Monocytes
165024,T-cells
165026,T-cells
165033,T-cells
165042,B-cells
165051,T-cells
165063,T-cells
165098,B-cells
165103,T-cells
165108,T-cells
165112,T-cells
165114,T-cells
165124,Monocytes
165128,T-cells
165129,T-cells
165131,T-cells
165135,Monocytes
165142,B-cells
165147,T-cells
165150,T-cells
165155,Monocytes
165164,Monocytes
165173,T-cells
165181,Monocytes
165182,T-cells
165184,Other_cells
165196,B-cells
165221,T-cells
165225,T-cells
165229,T-cells
165232,T-cells
165240,T-cells
165248,T-cells
165262,T-cells
165266,B-cells
165284,T-cells
165288,T-cells
165293,B-cells
165302,B-cells
165303,T-cells
165309,B-cells
165316,T-cells
165317,B-cells
165320,T-cells
165322,T-cells
165333,T-cells
165342,T-cells
165348,B-cells
165351,T-cells
165358,B-cells
165365,T-cells
165374,B-cells
165394,Monocytes
165400,T-cells
165406,Other_cells
165407,B-cells
165422,Other_cells
165426,Monocytes
165433,B-cells
165436,T-cells
165441,Monocytes
165451,T-cells
165470,B-cells
165475,T-cells
165477,T-cells
165478,T-cells
165486,T-cells
165488,B-cells
165496,T-cells
165506,T-cells
165507,T-cells
165517,Other_cells
165521,T-cells
165525,T-cells
165532,Monocytes
165536,T-cells
165541,T-cells
165546,T-cells
165559,T-cells
165565,B-cells
165567,Monocytes
165578,B-cells
165585,Other_cells
165609,T-cells
165625,T-cells
165627,T-cells
165631,T-cells
165635,B-cells
165637,T-cells
165640,T-cells
165650,T-cells
165658,T-cells
165670,T-cells
165677,T-cells
165686,T-cells
165687,T-cells
165701,T-cells
165707,T-cells
165726,Other_cells
165733,T-cells
165743,B-cells
165749,B-cells
165760,T-cells
165784,T-cells
165795,T-cells
165797,Monocytes
165803,T-cells
165815,T-cells
165837,T-cells
165840,B-cells
165858,Other_cells
165859,B-cells
165862,B-cells
165872,T-cells
165894,T-cells
165899,B-cells
165901,T-cells
165904,T-cells
165906,T-cells
165911,T-cells
165916,T-cells
165934,T-cells
165961,T-cells
165965,B-cells
165966,T-cells
165970,T-cells
165971,T-cells
165980,Monocytes
165981,B-cells
165989,B-cells
165992,T-cells
166006,T-cells
166008,T-cells
166020,Other_cells
166026,B-cells
166046,T-cells
166054,B-cells
166055,T-cells
166072,T-cells
166076,T-cells
166079,Monocytes
166080,T-cells
166114,Other_cells
166115,T-cells
166122,Monocytes
166123,Monocytes
166134,T-cells
166146,Other_cells
166151,T-cells
166156,B-cells
166158,B-cells
166168,B-cells
166171,T-cells
166173,T-cells
166174,Monocytes
166179,T-cells
166180,B-cells
166182,T-cells
166195,T-cells
166199,T-cells
166218,Other_cells
166232,T-cells
166243,T-cells
166254,B-cells
166259,Monocytes
166260,T-cells
166267,B-cells
166271,B-cells
166272,T-cells
166278,Other_cells
166280,T-cells
166297,B-cells
166299,B-cells
166303,T-cells
166310,B-cells
166315,Monocytes
166322,T-cells
166325,T-cells
166327,B-cells
166331,T-cells
166354,T-cells
166356,T-cells
166362,T-cells
166364,B-cells
166365,T-cells
166367,Monocytes
166372,T-cells
166373,T-cells
166376,Other_cells
166380,T-cells
166384,B-cells
166391,B-cells
166392,T-cells
166397,B-cells
166402,B-cells
166404,T-cells
166412,T-cells
166423,B-cells
166426,T-cells
166443,Monocytes
166459,T-cells
166462,T-cells
166471,Other_cells
166476,B-cells
166482,T-cells
166486,T-cells
166492,T-cells
166508,T-cells
166510,B-cells
166521,T-cells
166526,T-cells
166527,T-cells
166535,T-cells
166540,T-cells
166546,T-cells
166556,T-cells
166557,T-cells
166569,T-cells
166574,Other_cells
166583,T-cells
166607,T-cells
166615,Monocytes
166641,B-cells
166664,T-cells
166665,T-cells
166667,T-cells
166674,B-cells
166677,T-cells
166681,T-cells
166686,T-cells
166694,T-cells
166695,T-cells
166699,T-cells
166710,T-cells
166711,T-cells
166720,T-cells
166721,Other_cells
166734,T-cells
166735,T-cells
166738,Monocytes
166744,T-cells
166750,Monocytes
166752,T-cells
166763,B-cells
166766,T-cells
166771,T-cells
166792,B-cells
166793,T-cells
166797,T-cells
166800,T-cells
166829,B-cells
166830,T-cells
166840,T-cells
166852,T-cells
166859,B-cells
166868,T-cells
166874,T-cells
166876,Monocytes
166894,B-cells
166905,Monocytes
166908,T-cells
166914,T-cells
166921,B-cells
166930,T-cells
166934,T-cells
166935,B-cells
166950,T-cells
166972,T-cells
166975,T-cells
166993,T-cells
166994,T-cells
167002,T-cells
167004,T-cells
167005,T-cells
167016,T-cells
167019,T-cells
167053,B-cells
167065,T-cells
167067,T-cells
167088,T-cells
167091,Other_cells
167092,Other_cells
167097,B-cells
167101,T-cells
167102,B-cells
167109,T-cells
167114,T-cells
167115,Monocytes
167117,B-cells
167119,B-cells
167122,T-cells
167124,B-cells
167127,T-cells
167128,Other_cells
167135,T-cells
167139,T-cells
167141,B-cells
167145,T-cells
167147,T-cells
167166,T-cells
167170,T-cells
167174,T-cells
167197,T-cells
167199,T-cells
167201,T-cells
167207,T-cells
167216,Other_cells
167220,T-cells
167239,T-cells
167241,B-cells
167253,B-cells
167275,T-cells
167280,T-cells
167284,T-cells
167306,T-cells
167335,B-cells
167378,T-cells
167380,T-cells
167381,T-cells
167389,T-cells
167406,Monocytes
167417,T-cells
167422,Monocytes
167435,B-cells
167436,B-cells
167473,T-cells
167479,T-cells
167480,B-cells
167486,T-cells
167497,Other_cells
167503,B-cells
167505,Monocytes
167523,B-cells
167528,T-cells
167539,T-cells
167543,T-cells
167559,T-cells
167574,B-cells
167576,T-cells
167584,T-cells
167585,Other_cells
167597,T-cells
167598,B-cells
167602,T-cells
167629,T-cells
167630,T-cells
167633,T-cells
167653,Other_cells
167654,B-cells
167665,T-cells
167671,B-cells
167687,B-cells
167691,T-cells
167709,Other_cells
167726,B-cells
167730,B-cells
167739,Monocytes
167745,T-cells
167746,T-cells
167769,T-cells
167773,B-cells
167775,T-cells
